adnumber	category	image	copy
217196	405		"   	<B>Landscape</B> FT/PT 	Help Wanted &ndash; Immediate openings. 610-3706  	    <HR SIZE=1 NOSHADE>"
217235	405		"   	<B>Lane cONSTRUCTION 	cORPORATION</B>  is currently seeking motivated individuals for the 	following positions: 	<B>Seasonal Office 	Clerk</B> 	Responsibilities 	include but not limited to: 	-Routine office duties 	-Accounts 	receivable/payable 	-Operate truck scales 	Qualifications 	-High school diploma 	or its equivalent required 	-Valid driver's 	license with clean driving record 	-Dependable and 	self-motivated 	-Ability to work 	independently or as a team 	-Previous office 	administration experience in a construction setting is desired 	-Strong working 	knowledge of excel, word and outlook 	<B>Class A Truck 	Driver</B> 	<B>Laborers</B> 	Qualifications 	-High school diploma 	or its equivalent required 	-Valid driver's 	license with clean driving record 	-Dependable and 	self-motivated 	-Ability to work 	independently or as a team 	-Must be available to 	work nights and weekends 	Apply in person at the 	following location: 	32 Washington Junction 	Rd, Hancock, ME 04640 	You may also send or 	email a resume and cover letter to: 	P.O. Box 	103 	Bangor, 	ME 04402 	KLBubar@laneconstruct.com 	 	 	We are proud to offer 	a competitive compensation and benefits package to qualifying full 	and part-time employees. These benefits include, but are not limited 	to: - Comprehensive Medical - Dental Assistance Plan - Short Term 	Disability Plan - Long Term Disability Plan - 401(k) Savings Plan 	with company match. All offers of employment are conditional upon 	successfully passing a drug test. The Lane Construction Corporation 	is an Equal Opportunity Employer M/F/D/V.EOE M/F/D/V    <HR SIZE=1 NOSHADE>"
217146	405		"   	<B>Maine</B> Maritime 	Academy is seeking to fill the following full-time, 	benefits-eligible positions:  Custodial Team Leader (Nights), Ship 	Electrician, Company Officer, Welcome Center Receptionist, Assistant 	Professor of Engineering (Machine Shop), and Loeb-Sullivan School 	Program Coordinator.  For complete job descriptions and application 	instructions and forms, please visit our website at 	http://mainemaritime.edu/employment-at-mma/.  EOE.    <HR SIZE=1 NOSHADE>"
217145	405		"   	<B>Merchant,</B> 	Needham &amp; Associates Insurance office in Northeast Harbor is 	seeking a dedicated Customer Service Representative to complete 	their team. Email letter of interest and summary of past employment 	to Randy Merchant at randy@merchantneed ham.com.    <HR SIZE=1 NOSHADE>"
215453	405		"   	<B>NORUMBEGA MOVING &amp; 	STORAGE / MOUNT DESERT SPRING WATER</B> 	Growning 	companies, always looking for good people! For more information 	regarding job opportunities, call: Norumbega Moving &amp; Storage, 	Jerry &ndash; 244-7295. Mount Desert Spring Water 	Dawn 	&ndash; 244-5363    <HR SIZE=1 NOSHADE>"
217118	405		"   	<B><U>Optometric 	Assistant</U></B> Must have experience with Quick Books and Excel. 	This person must have knowledge in the optometric field. Please fax 	resume to 207-664-0420 or call 667-9093    <HR SIZE=1 NOSHADE>"
216954	405		"   	<B>OPTOMETRIC 	ASST. FULL-TIME. </B>Busy 	optometric office seeking an organized, self motivated individual to 	join our staff. Duties include patient prescreening with electronic 	health records, frame and lens selection, frame dispensing and 	adjusting, and general office tasks. Computer literacy essential. 	Experience helpful but not necessary. Ellsworth  office, flexibility 	a must. Please bring, FAX (667-4212) or send resume to: 	 	<B>Eyes, PA</B> 	 	<B>82 Water St. </B> 	 	      <B>Ellsworth, ME 	04605  </B> 	    <HR SIZE=1 NOSHADE>"
216948	405		"   	<B>Otis</B> General 	Store now hiring for 1 full time position and 1 part time position. 	Cashier and/ or cooking experience preferred, but will train. 	Applications available in store. Call 537-5000 and ask for Mavis for 	more in fo.cashier/stock/kitchen    <HR SIZE=1 NOSHADE>"
216453	405		"   	<B>Part</B> <B>TIME</B> 	Year Round Position 	$9.75/hour to start 	  	 	Operating high speed 	newspaper inserting machinery, labeling mail, strapping newspapers 	and loading newspaper bundles into mail carts in our Downtown 	Ellsworth production plant.  This position requires moderate lifting 	(30-40 lbs.) Weekdays only, no evenings or weekends. Pick up an 	application in our Water Street Office. 	  	 	The Ellsworth American 	30 Water Street 	Ellsworth, Maine    <HR SIZE=1 NOSHADE>"
217155	405		"   	<B>Plumbing</B> &amp; 	Heating technician - License &amp; experience required 	Looking for an 	individual who is multi-faceted, with good work ethic. 	$20 to $28.00 per hour 	&amp; sign on bonus for the right individual! 	We offer health 	insurance, retirement package and other benefits. 	Call or email Percy L. 	Brown &amp; Son Inc.  	 	97 Sunset Rd, Deer 	Isle, ME 207-348-2247 &ndash; plb plumbing@myfairpoint.net    <HR SIZE=1 NOSHADE>"
216446	405		"   	<B>Private</B> Estate 	is hiring horticulturists &amp; grounds keepers. Experience with 	perennials, annuals, greenhouse production, or landscape maintenance 	required. Must be able to lift at least 50 lbs and be a great team 	player. Year-round employment and health insurance available for the 	right candidates. Please email cover letter and resume to:  	 	mdihorticulture@gmail.com    <HR SIZE=1 NOSHADE>"
215302	405		"   	<B>RED SKY RESTAURANT</B> 	Come join the Red Sky team. Line Cook, Dishwasher, front of house 	staff. 207-244-0476    <HR SIZE=1 NOSHADE>"
217223	405		"   	     <B>Retail MANAGER</B> 	F/T May-Nov;P/T 	Nov-May. 	Position involves some 	shared retail sales exposure, but this position is  primarily 	focused on organizational, management, and behind the scenes.&amp; 	Involves working closely with clients and other established team 	members. Casual and laid back but focused working atmosphere, where 	professionalism, team work and pride in performance are key 	components. Please send resumes to, Box SW,  310 Main St, Bar Harbor 	.04609    <HR SIZE=1 NOSHADE>"
217193	405		"   	<B>Specialty 	Food Sales &amp; Deli Associate</B> 	 	 	This position involves 	working in our deli slicing and packaging prepared food for our 	customers.  Food service experience is a plus.  Rooster Brother 	provides a stimulating 	and challenging work environment with an emphasis on 	customer service.  	Energy and enthusiasm for our products and our customers are 	required.  Previous retail experience is preferred. Competitive pay 	and benefits including reimbursement for health insurance, 	retirement plan with employer contribution, store discounts, 	vacation and 	personal paid time 	off. 	Apply in person at 	Rooster Brother, 29 Main Street, next to the Union River 	Bridge in downtown 	Ellsworth. A complete job description accompanies  the application 	form.     	    <HR SIZE=1 NOSHADE>"
216764	405		"   	<B>Starting</B> <B>NOW</B> 	Kebo Valley Golf Club - PT WAIT STAFF, BEVERAGE CART ATTENDANT &amp; 	KITCHEN 	/BUS HELP.Great Pay 	and place to work. APPLY IN PERSON or CALL  	 	  207-288-3000. EXT.4    <HR SIZE=1 NOSHADE>"
217147	405		"   	<B>The</B> Town of 	Hancock has an opening for the combined position of Tax Collector 	and Treasurer and Deputy Town Clerk. This is a full time position 	with some benefits. Experience working with the people, having a 	high degree of confidentiality, paying attention to detail, having 	the ability to work under pressure of multiple deadlines, and being 	flexible are necessary.  Municipal experience and knowledge of TRIO 	municipal software program is desired. Salary based on experience. 	Job descriptions are available at the Town Office during regular 	business hours or can be downloaded from the town's website 	www.hancockmaine.org. Please submit a cover letter, resume and 	references, to PO Box 68, Hancock, ME 04640 or via email to 	hancocktownclerk@hancocktownoffice.com  no later than  June 21st, 	2017. The Town of Hancock is an Equal Opportunity/Affirmative Action 	Employer.    <HR SIZE=1 NOSHADE>"
216398	405		"   	<B>TIM GOTT, INC. 	GOTT'S DISPOSAL</B> Rackbody 	rubbish driver for spring route. Call 244-7461 for more information 	and to apply.    <HR SIZE=1 NOSHADE>"
217234	405		"   	<B>Waitstaff</B> -  	dishwasher, and baker for Aerie Restaurant. Opening June 1. Steuben. 	 546-1219.  	 	joerg@eaglehill.us    <HR SIZE=1 NOSHADE>"
216897	405		"   	<B>WANTED</B> VENDORS, 	NEW Market/Farm Stand ISO vendors: specialty &amp; locally sourced 	foods, (gluten-free &amp; vegan wanted) &amp; farms. Opened 	Friday-Sunday, July-November, storage available. Info: 	Somesvillemarket@ 	gmail.com    <HR SIZE=1 NOSHADE>"
216926	505		"   	<B>BLUE</B> <B>HILL</B> 	&ndash; In-town, 	2BR, heat &amp; elec incl., $850/mo. Avail June 	1<SUP>st.</SUP> 1<SUP>St</SUP>/last/sec. 207-266-2840  	    <HR SIZE=1 NOSHADE>"
216831	505		"   	<B>Blue</B> <B>Hill 	Village</B> 1BR. 2<SUP>nd</SUP> floor, south facing, light and 	clean. Yearly lease. W/D, heat, ac, lawn, plowing, trash and storage 	included. No smoking/dogs. $800/mo Avail. June 15<SUP>th</SUP>. 	249-6138.    <HR SIZE=1 NOSHADE>"
216877	505		"   	<B>ELLSWORTH</B> - 	1BR, walking distance to downtown, 	quiet neighborhood. No 	smoking/no pets. 	$725/mo. 	Incl. heat &amp; 	electric. Ref 	taken. 1 month sec. 	dep. + 	rent req'd. Call 	266-0341.    <HR SIZE=1 NOSHADE>"
216821	505		"   	<B>Ellsworth</B> 1 	bedroom, 1 bath, 2nd floor apartment at 7 Tracy's Way. $625/month. 	$625 security deposit. Last month's rent paid over first three 	months of tenancy. Call 947-5517.    <HR SIZE=1 NOSHADE>"
216707	505		"   	<B>ELLSWORTH</B> 	&ndash; 1BR,     Close to downtown and hospital. $750/mo.  	 	Heat &amp; 	hot water included  	 	      Year 	lease, No dogs.  	 	        	Call/text 669-2204  	                                                	                                                                     	                                                                     	                                                                     	                             	    <HR SIZE=1 NOSHADE>"
216840	505		"   	<B>ELLSWORTH</B> <B>AREA/ 	Franklin &ndash; </B> Small 	bi-level studio apt. Tub shower bath, gas heat, hot water and range. 	Incl W/D, storage, lovely ground. $660/month + utils. Fist/Last/Sec 	dep. 565-2124 or 460-9122    <HR SIZE=1 NOSHADE>"
216597	505		"   	<B>Ellsworth</B> First 	floor, 1 bedroom.  Walking distance to downtown, hospital.  Heat, 	trash and snow removal, water, sewer included.  No-smoking, no pets. 	$850/mo First month and security deposit required.  Call or text 	Roger at 207-266-1088 or 207-288-5462.    <HR SIZE=1 NOSHADE>"
216387	505		"   	<B>Ellsworth 	RENTALS</B> 	 	  Bridge Hill Apartments &amp;  	 	 	Eastland Park Apartments 	 	Currently accepting applications 	for 2BR and 2BH H/C units 	 	 View property and print  	 	 	applications at 	 	www.mainedevelopment.com 	 	 For more information and  	 	 	applications contact Kasie @ 	 	Maine Development Associates 	 	1- 800-639-1747 	 	TTY Dial 711  	 	 	 	 	 	We are an Equal Opportunity 	organization.   	    <HR SIZE=1 NOSHADE>"
215879	505		"   	<B>Hancock</B> - 2<SUP>nd</SUP> 	Floor Effic  No Smoking/No pets. 1Yr lease. 1<SUP>st</SUP>/last/sec 	422-6565    <HR SIZE=1 NOSHADE>"		
216500	505		"   	<B>Knoxview</B> 	Apartments 	Bucksport, ME 	1BR, 1BA,  $600/mo. 	plus 3 Bedroom, 1 1/2 Bath,  w/d hookup. Tenant pays heat, hot water 	&amp; electric. $750.00/month. 	Call Hughes Associates 	at (207) 561-4700    <HR SIZE=1 NOSHADE>"		
216901	505		"   	<B>LAMOINE</B> &ndash; 	1BR, $600/mo. incls utils. No smoking/pets. First, last, Sec dep.  	664-7465.   	    <HR SIZE=1 NOSHADE>"		
207444	505	http://www.ellsworthamerican.com/photos/class/Equal Housing Opportunity 		"   	<B>MDI &amp; 	ELLSWORTH</B> 	 <B>Housing 	Authorities </B> 	 	Accepting 	Applications (HUD) 	 	 	&bull;Public Housing 	Program  	 	&bull;Section 	8 Voucher Program &bull;Tobacco 	Free Properties 	 	 	Call Theresa for 	applications &amp; eligibility questions 207-288-4770, ext 127.  	 	<B>www.emdiha.org</B> 	<IMG SRC=""http://www.ellsworthamerican.com/photos/class/Equal Housing Opportunity "	".tif"" NAME=""Graphic1"" ALIGN=LEFT WIDTH=50 HEIGHT=42 BORDER=0><BR CLEAR=LEFT> 	 	 	    <HR SIZE=1 NOSHADE>"
216896	506		"   	<B>Hancock:</B> 1st 	floor 1 Br studio efficiency with kitchenette. 5 minutes to 	Ellsworth. Private entrance. On site laundry. Utilities incl. 	$595/mo. Sec. Dep. Lease and Ref. Call 479-4246 No pets    <HR SIZE=1 NOSHADE>"		
216688	506		"   	<B>SURRY 	&ndash;</B> Efficiency apt within my home. Utilities, cable 	and wifi incl. Some shared facilities. $425/mo. No smoking. No pets. 	Avail. June 1<SUP>st</SUP>. 667-8177   	    <HR SIZE=1 NOSHADE>"		
217272	506		"   	<B>Winter Harbor</B> &ndash; 	1BR and  3 BR furnished apt. for rent.  Call: 598-0304 .    <HR SIZE=1 NOSHADE>"		
216943	510		"   	<B>FRANKLIN</B> &ndash; 	Waterfront, private, quiet area, 2BR, 3BA, no smoking  Sec dep. 	$1600/mo. + utils, mowing &amp; plowing incl.  Avail Aug 1. 422-6481    <HR SIZE=1 NOSHADE>"		
216535	510		"   	<B>Trenton</B> &ndash; 	3BR Cape Year lease. Private setting. First and Sec. $1200/mo + 	utils. Avail June 1<SUP>st</SUP>. Morgan Bayside Real Estate Inc. 	667-3845    <HR SIZE=1 NOSHADE>"		
215779	515		"   	<B>HULLS COVE - </B> 	97 St Hwy 3. Quiet &ndash; 1 BR, share the rest of the house. 	Possible YR. $125/wk.  460-4451.    <HR SIZE=1 NOSHADE>"		
215011	515		"   	<B>NORTHEAST HARBOR</B> 	&ndash; Rooms $500/mo, utilities, heat, trash removal &amp; snow 	plowing incl.  207-415-7182  	    <HR SIZE=1 NOSHADE>"		
216708	515		"   	<B>SURRY-</B> 	$150/week incl  utils, cable TV, Internet, and your own master BA. 	Like dogs.  $200 Sec. Call 479-3006.    <HR SIZE=1 NOSHADE>"		
216644	520		"   	<B>SCHOODIC</B> 	PENINSULA VACATION RENTAL: Beautiful, affordable, 2BR Schoodic 	seashore &quot;treehouse&quot;. Prime July - September dates still 	available. See AIRbnb.com listing &quot;Druid Hill Downeast.&quot;    <HR SIZE=1 NOSHADE>"		
216526	525		"   	<B>LAMOINE</B> &ndash; 	Buttermilk Rd, 3BR, 1BA, On private lot. Gas heat, Extra large 	heated garage with commercial doors, lots of possibilities. $900/mp 	plus utils. First, last, sec dep. Pet by agreement. 207-460-9122 or 	565-2124    <HR SIZE=1 NOSHADE>"		
216718	525		"   	<B>OTIS</B> &ndash; 	3BR, 2BA,  living  room, family room, kitchen. $1000/mo, incls heat, 	mowing, snowplowing, rubbish removal. No pets. Sec dep.  537-2822    <HR SIZE=1 NOSHADE>"		
208600	530		"   	<B>Affordable 	Attractive</B> offices,  Main St., Ellsworth, From $250. 460-7544.    <HR SIZE=1 NOSHADE>"		
217050	530		"   	<B>Blue</B> <B>HILL</B>&ndash; 	10 by 20 freezer/cooler space avail. Price nego. Bait cooler.  	266-2840.    <HR SIZE=1 NOSHADE>"	
217049	530		"   	<B>Blue</B> <B>HILL</B> 	&ndash; 1100 sq. ft. office/retail, in town.  Adequate parking, high 	visibility. Available June 1<SUP>st</SUP>. Price negotiable. 	266-2840    <HR SIZE=1 NOSHADE>"	
215241	530		"   	<B>Ellsworth:</B> 2000 	sq ft professional air conditioned office, first floor, large 	parking, high traffic.  667-0757 or email disney@wild blue.net    <HR SIZE=1 NOSHADE>"	
215242	530		"   	<B>Ellsworth:</B>   	All inclusive shared office space, first floor, great parking, 	includes air, heat, electricity from $400 up.  Shared reception and 	small kitchen area with handicap bath.  667-0757 or email  	 	disney@wildblue.net    <HR SIZE=1 NOSHADE>"	
214868	600	http://www.ellsworthamerican.com/photos/class/knowleslogoblackbackground.jpg	"   	<IMG SRC=""http://www.ellsworthamerican.com/photos/class/knowleslogoblackbackground.jpg"" NAME=""Graphic1"" ALIGN=LEFT WIDTH=119 HEIGHT=68 BORDER=0><BR CLEAR=LEFT> 	 	 	Distinctive properties 	 	Legendary service 	 	 	 	 	207-276-3322 	 	 	 	 	www.KnowlesCo.com  	 	 	 	 	 	Real Estate Sales  	 	 	and Rentals    <HR SIZE=1 NOSHADE>"	
217240	600		"   	<B>Wanting</B> 	to trade duplex in MA for house in Bar Harbor. 1 side rented for 	$1200/mo, other side vacant. Both units recently renovated 3BR, 2BA. 	John, 303-520-5256.    <HR SIZE=1 NOSHADE>"	
217149	615		"   	<B>Keefe</B> 	Way Ellsworth- Located on scenic Little Rocky Pond, this 5.25 acre 	lot w/235 feet of shore-frontage makes the perfect spot for kayaking 	or canoeing. It has southeastern exposure, restrictive covenants, 	new road has been installed. This makes the perfect summer getaway! 	Call 667-2144 for complete details. Price $59,000.00    <HR SIZE=1 NOSHADE>"	
217150	615		"   	<B>LAND</B> 	"	" Porcupine Road, Sullivan.  Great 1.7 +/- acres lot, close to 	Taunton Bay, amazing opportunity to build your dream home!  Contact 	Jones Real Estate and ask for Emilie, listing price $20,000.  MLS# 	1269577    <HR SIZE=1 NOSHADE>"
216920	800		"   	<B>Subaru</B> Forester 	Premium 2016. New service, inspection, tires. White Pearl. Priced 	below book. Ron's/Stonington 367-2757    <HR SIZE=1 NOSHADE>"	
